Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US08049,217VG42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.149.245,Microsoft Windows 7 Professional x64,CPL,,2018-06-30 23:59:59,Active,,,,,,
US08050,2PGMV42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.149.247,Microsoft Windows 7 Professional x64,CPL,,2018-06-19 23:59:59,Active,,,,,,
CHECKIN-21014,mxl2420vvd,Hewlett-Packard,HP TouchSmart Elite 7320 All-in-One PC,Unassigned,HP TouchSmart Elite 7320 PC AIO,10.148.149.99,Microsoft Windows XP Professional,CPL,,,No Warranty,,,,,,
US30915,B3DF082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.150.11,Microsoft Windows 7 Professional x64,CPL,,2019-01-07 23:59:59,Active,,,,,,
US30921,B7SJ082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.150.13,Microsoft Windows 7 Professional x64,CPL,,2019-01-07 23:59:59,Active,,,,,,
AUS-21837,CZXW9Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.150.139,Microsoft Windows 7 Professional x64,CPL,,2016-11-15 23:59:59,Expired,,,,,,
US01705,CSBYL02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.150.151,Microsoft Windows 7 Professional x64,CPL,,2017-08-25 23:59:59,Expired,,,,,,
US08047,JVFVD22,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.150.152,Microsoft Windows 7 Professional x64,CPL,,2018-07-02 23:59:59,Active,,,,,,
US30279,B7GL082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.150.158,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US20129,3P3CQD2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.150.204,Microsoft Windows 7 Professional x64,CPL,,2019-08-09 23:59:59,Active,,,,,,
US20167,7HWPQD2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.150.206,Microsoft Windows 7 Professional x64,CPL,,2019-08-21 23:59:59,Active,,,,,,
US30737,B89L082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.150.43,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US30756,B8GF082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.150.44,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US30616,CWYL082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.150.45,Microsoft Windows 7 Professional x64,CPL,,2018-12-27 23:59:59,Active,,,,,,
VEGAS-21890,4CHLCZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.111,Microsoft Windows 7 Professional x64,CPL,,2016-12-30 23:59:59,Expired,,,,,,
VEGAS-21724,85LC9Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.113,Microsoft Windows 7 Professional x64,CPL,,2016-12-19 23:59:59,Expired,,,,,,
VEGAS-21944,45SCFY1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.147,Microsoft Windows 7 Professional x64,CPL,,2017-01-29 23:59:59,Expired,,,,,,
VEGAS-21885,4CFPCZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.151.152,Microsoft Windows 7 Professional x64,CPL,,2016-12-30 23:59:59,Expired,,,,,,
US01956,4WWMR22,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.151.158,Microsoft Windows 7 Professional x64,CPL,,2017-12-10 23:59:59,Expired,,,,,,
