Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US01783,BRT9N02,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.139.111,Microsoft Windows 7 Professional x64,CPL,,2017-07-23 23:59:59,Expired,,,,,,
US30161,GKHGN52,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.114,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US30160,3NHGN52,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.117,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US20212,BZPRRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.139.118,Microsoft Windows 7 Professional x64,CPL,,2019-09-23 23:59:59,Active,,,,,,
US20187,8W5CRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.139.12,Microsoft Windows 7 Professional x64,CPL,,2019-09-08 23:59:59,Active,,,,,,
US30053,CW0L082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.139,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
US08278,815ZB62,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.139.14,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US30064,CVVH082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.140,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
US30186,B8GK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.206,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US30162,CX4F082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.207,Microsoft Windows 7 Professional x64,CPL,,2018-12-27 23:59:59,Active,,,,,,
US30110,B75L082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.235,Microsoft Windows 7 Professional x64,CPL,,2018-12-30 23:59:59,Active,,,,,,
US30145,B7BG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.139.236,Microsoft Windows 7 Professional x64,CPL,,2018-12-30 23:59:59,Active,,,,,,
US31074,B6XK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.107,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US31085,B7TK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.139,Microsoft Windows 7 Professional x64,CPL,,2019-01-08 23:59:59,Active,,,,,,
US30052,CW0G082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.171,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
US30065,CVXH082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.174,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US30615,B8YG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.203,Microsoft Windows 7 Professional x64,CPL,,2018-12-27 23:59:59,Active,,,,,,
US30699,B78F082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.210,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US08031,9WRKV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.140.236,Microsoft Windows 7 Professional x64,CPL,,2018-06-22 23:59:59,Active,,,,,,
US08009,3SQRG42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.140.24,Microsoft Windows 7 Professional x64,CPL,,2018-05-29 23:59:59,Active,,,,,,
US31071,B6MJ082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.43,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US31069,CD7F082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.140.44,Microsoft Windows 7 Professional x64,CPL,,2019-01-08 23:59:59,Active,,,,,,
US08108,7KZR052,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.140.76,Microsoft Windows 7 Professional x64,CPL,,2018-08-25 23:59:59,Active,,,,,,
US01740,4LJPX12,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.140.77,Microsoft Windows 7 Professional x64,CPL,,2017-11-10 23:59:59,Active,,,,,,
US08106,F4CHV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.140.78,Microsoft Windows 7 Professional x64,CPL,,2018-08-20 23:59:59,Active,,,,,,
US30120,B5TL082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.141.212,Microsoft Windows 7 Professional x64,CPL,,2018-12-30 23:59:59,Active,,,,,,
US08132,GZ5MV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.141.213,Microsoft Windows 7 Professional x64,CPL,,2018-07-31 23:59:59,Active,,,,,,
US74542,1KQMDZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.141.235,Microsoft Windows 7 Professional x64,CPL,,2017-02-27 23:59:59,Expired,,,,,,
US31194,910H582,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.141.237,Microsoft Windows 7 Professional x64,CPL,,2019-02-04 23:59:59,Active,,,,,,
US08232,DZBNV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.141.25,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US01718,3VCHL02,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.148.141.29,Microsoft Windows 7 Professional x64,CPL,,2017-08-02 23:59:59,Expired,,,,,,
US30592,B5NG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.141.30,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US30109,B73L082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.141.48,Microsoft Windows 7 Professional x64,CPL,,2018-12-30 23:59:59,Active,,,,,,
US20132,6Q35QD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.141.49,Microsoft Windows 7 Professional x64,CPL,,2019-07-25 23:59:59,Active,,,,,,
US30664,CWZL082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.148.141.77,Microsoft Windows 7 Professional x64,CPL,,2018-12-23 23:59:59,Active,,,,,,
