NAME,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIAN,OURS
Acer Veriton 5100,ACER,VERITON,5100,,,,,,,,,,,,,,,,,,,,,,,SFF,"small form factor,small form,sff"
Apple eMac,EMAC,,,,,,,,,,,,,,,,,,,,,,,,,micro,micro
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,usff,"ultra small,usff"
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mff,"medium form factor,medium form,mff"
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Comdek/EDSys/Apple Generic,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mini tower,"mini,mini tower"
Cybernet iOne GX31,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Dell Dimension Series,DIMENSION,,,,,,,,,,,,,,,,,,,,,,,,,btx,"btx,balanced tech,balanced technology extended"
Dell OptiPlex GX260 SFF,OPTIPLEX,GX260,SFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX270 Mini Tower,OPTIPLEX,GX270,"mini,mini tower",,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX270 SFF,OPTIPLEX,GX270,SFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX280 USFF,OPTIPLEX,GX280,USFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX520 SFF,OPTIPLEX,GX520,SFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX60 SFF,OPTIPLEX,GX60,SFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX620,OPTIPLEX,GX620,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX620 USFF,OPTIPLEX,GX620,USFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex SX280 USFF,OPTIPLEX,SX280,USFF,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision 360 Tower,precision,360,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision 380 Tower,precision,380,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision 390 Tower,precision,390,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision 490 Tower,precision,490,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision 670 Tower,precision,670,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision 690 Tower,precision,690,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision PWS390 Tower,precision,PWS390,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T3400 Tower,precision,T3400,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T3500 Tower,precision,T3500,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T3600 Tower,precision,T3600,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T3610 Tower,precision,T3610,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T5400 Tower,precision,T5400,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision T5810 Tower,precision,T5810,,,,,,,,,,,,,,,,,,,,,,,,,
